,original sentence,corrected sentence,error indices,corrected indices,error-corr pair,error label,l1,Approximate level,split
0,"Det samma gäller inte för en kommunal lägenhet i D-hemland , där vi tar varmvatten från en gaskokare .","Detsamma gäller inte för en kommunal lägenhet i D-hemland , där vi tar varmvatten från en gaskokare .",0-8,0-7,Det samma--Detsamma,O-Comp,Ungerska,Nybörjare,train
1,Några tider kan vi titta och lyssna på hur det funkar .,Ibland kan vi titta och lyssna på hur det funkar .,0-10,0-5,Några tider--Ibland,L-W,Ungerska,Nybörjare,train
2,Bonus son har fått ett akvarium i sitt rum som han är jättestolt över .,Bonussonen har fått ett akvarium i sitt rum som han är jättestolt över .,0-8,0-9,Bonus son--Bonussonen,O-Comp,"Engelska, Kantonesiska, Malajiska, Mandarin",Nybörjare,train
3,efterditt kan du träffa vänner som kommer från olika länder .,Efter det kan du träffa vänner som kommer från olika länder .,0-8,0-8,efterditt--Efter det,O-Comp,Arabiska,Nybörjare,train
4,I det här fallet fungerar kursen som en hjälp till elever .,På det sättet fungerar kursen som en hjälp till elever .,0-15,0-12,I det här fallet--På det sättet,L-W,Kinesiska,Avancerad,train
5,Andravärldskriget ligger i det förflutna och har varit glömt länge .,Andra världskriget ligger i det förflutna och har varit glömt länge .,0-16,0-17,Andravärldskriget--Andra världskriget,O-Comp,Spanska,Avancerad,train
6,Därför att detta gäller för de flesta nya arbetssökande borde en arbetsgivare inte förvänta sig kunskaper om arbetsmaknaden i denna grupp .,Då detta gäller för de flesta nya arbetssökande borde en arbetsgivare inte förvänta sig kunskaper om arbetsmaknaden i denna grupp .,0-9,0-1,Därför att--Då,L-W,Tyska,Avancerad,train
7,"Tillslut vill jag säga , som jag sagt till mina kompisar : Kärlek kan vara både bra och dålig .","Till slut vill jag säga , som jag sagt till mina kompisar : Kärlek kan vara både bra och dålig .",0-7,0-8,Tillslut--Till slut,O-Comp,"Dari, Persiska",Avancerad,train
8,Flera människor anser att det är rätt – andra att det är absolut fel .,Många anser att det är rätt – andra att det är absolut fel .,0-14,0-4,Flera människor--Många,L-W,Ryska,Avancerad,train
9,Hat kärleken vänder sig med en stark vilja av önskan när mamman plötsligt lämnar slottet som en björn på grund av magin hon har drabbats av .,Hatkärleken vänder sig med en stark vilja av önskan när mamman plötsligt lämnar slottet som en björn på grund av magin hon har drabbats av .,0-11,0-10,Hat kärleken--Hatkärleken,O-Comp,Turkiska,Avancerad,train
